choco_bar_name,company_name,company_loc,rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Nib Brittle,Theo,USA,2.5,65.0,57.0,55.0,48.0,37.0,62.0,51.0,43.0,41.0,29.0,74.0,72.0,72.0,81.4,83.0
Ivory Coast,Theo,USA,4.0,75.0,53.0,42.0,40.0,49.0,71.0,37.0,36.0,80.0,82.0,92.0,82.0,85.3,88.4,86.5
Ghana-Panama-Ecuador,Theo,USA,3.5,75.0,44.0,48.0,76.0,50.0,63.0,45.0,52.0,39.0,81.0,100.0,80.0,82.0,86.4,87.0
Mad 65,Theo,USA,4.0,65.0,60.0,56.0,76.0,20.0,68.0,64.0,62.0,83.0,51.0,100.0,73.0,90.7,89.0,90.0
85% Blend,Venchi,Italy,3.5,85.0,23.0,21.0,8.0,70.0,76.0,52.0,10.0,78.0,69.0,92.0,84.0,83.3,84.2,82.5
Le Noir 56,Valrhona,France,3.5,56.0,81.0,80.0,70.0,31.0,44.0,42.0,21.0,77.0,26.0,94.0,76.0,80.7,87.0,89.0
Noir 71,Valrhona,France,4.0,71.0,61.0,60.0,71.0,44.0,62.0,31.0,86.0,81.0,35.0,100.0,85.0,74.7,88.0,92.5
Le Noir Extra Amer,Valrhona,France,3.0,85.0,22.0,21.0,51.0,82.0,33.0,67.0,26.0,77.0,91.0,92.0,72.0,69.3,86.2,86.5
Caraibe,Valrhona,France,4.0,66.0,61.0,65.0,70.0,32.0,52.0,35.0,86.0,77.0,56.0,94.0,76.0,89.3,86.2,92.0
Ampamakia,Valrhona,France,3.5,64.0,52.0,51.0,76.0,27.0,36.0,67.0,30.0,62.0,56.0,84.0,76.0,83.3,85.0,89.5
Gran Couva,Valrhona,France,2.0,64.0,31.0,77.0,51.0,31.0,63.0,22.0,24.0,31.0,32.0,94.0,76.0,85.3,8.0,46.5
Manjari,Valrhona,France,3.0,64.0,42.0,81.0,77.0,32.0,35.0,56.0,31.0,33.0,32.0,86.0,89.0,78.7,80.4,83.5
Chocolat Organic,Valrhona,France,2.0,70.0,29.0,46.0,76.0,43.0,42.0,54.0,21.0,42.0,46.0,86.0,71.0,85.3,72.4,57.0
Palmira / El Pedregal,Valrhona,France,3.0,64.0,44.0,69.0,60.0,39.0,35.0,23.0,50.0,56.0,32.0,88.0,77.0,77.3,80.4,81.5
Porcelana Mex,Coppeneur,Germany,3.5,72.0,51.0,59.0,83.0,34.0,58.0,70.0,57.0,62.0,67.0,100.0,81.0,82.7,87.6,88.0
Tanariva,Valrhona,France,3.0,33.0,21.0,84.0,31.0,13.0,43.0,19.0,26.0,57.0,62.0,94.0,72.0,84.0,80.2,80.0
Dark 90,Wawel,Poland,1.5,90.0,60.0,38.0,9.0,34.0,90.0,21.0,13.0,88.0,57.0,100.0,84.0,81.3,71.2,41.5
Jivara,Valrhona,France,0.0,40.0,9.0,69.0,28.0,21.0,24.0,12.0,6.0,44.0,33.0,100.0,65.0,55.3,49.6,20.0
Guanaja,Valrhona,France,4.0,70.0,65.0,55.0,70.0,31.0,33.0,83.0,96.0,82.0,71.0,94.0,72.0,90.7,90.6,92.0
