rating,cocoa_percent,bean_type,bean_broad_origin,company_name,company_location
3.75,63.0, ,Sao Tome,A. Morin,France
2.75,70.0, ,Togo,A. Morin,France
3.0,70.0, ,Togo,A. Morin,France
3.5,70.0, ,Togo,A. Morin,France
3.5,70.0, ,Peru,A. Morin,France
2.75,70.0,Criollo,Venezuela,A. Morin,France
3.5,70.0, ,Cuba,A. Morin,France
3.5,70.0,Criollo,Venezuela,A. Morin,France
3.75,70.0,Criollo,Venezuela,A. Morin,France
4.0,70.0, ,Peru,A. Morin,France
2.75,70.0, ,Panama,A. Morin,France
3.0,70.0,Criollo,Madagascar,A. Morin,France
3.25,70.0, ,Brazil,A. Morin,France
3.75,70.0, ,Ecuador,A. Morin,France
2.75,70.0, ,Colombia,A. Morin,France
3.0,70.0, ,Burma,A. Morin,France
3.25,70.0, ,Papua New Guinea,A. Morin,France
4.0,70.0,Trinitario,Venezuela,A. Morin,France
3.25,70.0, ,Peru,A. Morin,France
3.5,70.0, ,Peru,A. Morin,France
4.0,63.0, ,Peru,A. Morin,France
3.5,70.0, ,Bolivia,A. Morin,France
3.75,63.0, ,Peru,A. Morin,France
3.75,70.0, ,Peru,Acalli,U.S.A.
3.75,70.0,Criollo,Peru,Acalli,U.S.A.
2.75,60.0,Trinitario,Fiji,Adi,Fiji
3.25,80.0,Trinitario,Fiji,Adi,Fiji
3.5,88.0,Trinitario,Fiji,Adi,Fiji
3.5,72.0,Trinitario,Fiji,Adi,Fiji
2.75,55.0,Forastero,Ecuador,Aequare (Gianduja),Ecuador
3.0,70.0,Forastero,Ecuador,Aequare (Gianduja),Ecuador
3.0,70.0,Criollo,Mexico,Ah Cacao,Mexico
3.75,75.0,Trinitario,Indonesia,Akesson's (Pralus),Switzerland
2.75,75.0,Criollo,Madagascar,Akesson's (Pralus),Switzerland
2.75,75.0,Forastero,Brazil,Akesson's (Pralus),Switzerland
2.75,65.0,Trinitario,Trinidad,Alain Ducasse,France
2.75,75.0,Trinitario,Vietnam,Alain Ducasse,France
3.0,75.0,Trinitario,Madagascar,Alain Ducasse,France
2.5,75.0,Trinitario,Venezuela,Alain Ducasse,France
2.5,75.0, ,Peru,Alain Ducasse,France
3.5,70.0,Forastero,Ecuador,Alexandre,Netherlands
3.5,70.0,Criollo,Nicaragua,Alexandre,Netherlands
3.5,70.0,Trinitario,Vietnam,Alexandre,Netherlands
3.5,70.0,Forastero,Tanzania,Alexandre,Netherlands
2.75,60.0, ,Nicaragua,Altus aka Cao Artisan,U.S.A.
3.0,60.0, ,Peru,Altus aka Cao Artisan,U.S.A.
2.5,60.0, ,Bolivia,Altus aka Cao Artisan,U.S.A.
2.5,60.0, ,Peru,Altus aka Cao Artisan,U.S.A.
2.75,60.0, ,Ecuador,Altus aka Cao Artisan,U.S.A.
2.5,60.0, ,Venezuela,Altus aka Cao Artisan,U.S.A.
3.0,60.0,Trinitario,Dominican Republic,Altus aka Cao Artisan,U.S.A.
3.25,80.0, ,Bolivia,Altus aka Cao Artisan,U.S.A.
3.0,60.0, ,Bolivia,Altus aka Cao Artisan,U.S.A.
3.25,60.0, ,Peru,Altus aka Cao Artisan,U.S.A.
4.0,70.0, ,Papua New Guinea,Amano,U.S.A.
3.75,70.0, ,Dominican Republic,Amano,U.S.A.
