choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Nib Brittle,Theo,2.5,USA,65.0,Hybrid,Madagascar,Earthen,57.0,55.0,48.0,37.0,62.0,51.0,43.0,41.0,29.0,74.0,72.0,72.0,81.4,83.0
Vanilla Milk Choc,Theo,4.0,USA,,Blend,,Earthen,77.0,80.0,30.0,7.0,62.0,28.0,46.0,81.0,34.0,100.0,89.0,92.0,89.0,87.0
Ivory Coast,Theo,4.0,USA,75.0,Amazon,Ivory Coast,Earthen,53.0,42.0,40.0,49.0,71.0,37.0,36.0,80.0,82.0,92.0,82.0,85.3,88.4,86.5
Ghana-Panama-Ecuador,Theo,3.5,USA,75.0,Blend,(Ghana [Kumasi]; Panama [Bocas del Toro]; Ecuador),Crossover,44.0,48.0,76.0,50.0,63.0,45.0,52.0,39.0,81.0,100.0,80.0,82.0,86.4,87.0
Mad 65,Theo,4.0,USA,65.0,Criollo,Madagascar,Fruits,60.0,56.0,76.0,20.0,68.0,64.0,62.0,83.0,51.0,100.0,73.0,90.7,89.0,90.0
Pure White,Venchi,3.0,Italy,,,,Sugar,13.0,91.0,11.0,5.0,52.0,41.0,7.0,37.0,24.0,82.0,74.0,77.3,85.8,86.5
85% Blend,Venchi,3.5,Italy,85.0,Blend,,Earthen,23.0,21.0,8.0,70.0,76.0,52.0,10.0,78.0,69.0,92.0,84.0,83.3,84.2,82.5
Le Noir 56,Valrhona,3.5,France,56.0,Blend,,Naked,81.0,80.0,70.0,31.0,44.0,42.0,21.0,77.0,26.0,94.0,76.0,80.7,87.0,89.0
Noir 71,Valrhona,4.0,France,71.0,Criollo,,Crossover,61.0,60.0,71.0,44.0,62.0,31.0,86.0,81.0,35.0,100.0,85.0,74.7,88.0,92.5
Le Noir Extra Amer,Valrhona,3.0,France,85.0,Blend,(Africa),Earthen,22.0,21.0,51.0,82.0,33.0,67.0,26.0,77.0,91.0,92.0,72.0,69.3,86.2,86.5
Caraibe,Valrhona,4.0,France,66.0,Blend,(Caribbean),Earthen,61.0,65.0,70.0,32.0,52.0,35.0,86.0,77.0,56.0,94.0,76.0,89.3,86.2,92.0
Ampamakia,Valrhona,3.5,France,64.0,Hybrid,Madagascar,Twang,52.0,51.0,76.0,27.0,36.0,67.0,30.0,62.0,56.0,84.0,76.0,83.3,85.0,89.5
Gran Couva,Valrhona,2.0,France,64.0,Trinitario,Trinidad,Sugar,31.0,77.0,51.0,31.0,63.0,22.0,24.0,31.0,32.0,94.0,76.0,85.3,8.0,46.5
Manjari,Valrhona,3.0,France,64.0,Hybrid,Madagascar,Twang,42.0,81.0,77.0,32.0,35.0,56.0,31.0,33.0,32.0,86.0,89.0,78.7,80.4,83.5
Lait Organic,Valrhona,4.0,France,,Blend,,Crossover,26.0,80.0,51.0,19.0,32.0,34.0,56.0,47.0,62.0,100.0,63.0,77.3,91.4,92.0
Chocolat Organic,Valrhona,2.0,France,70.0,Blend,,Earthen,29.0,46.0,76.0,43.0,42.0,54.0,21.0,42.0,46.0,86.0,71.0,85.3,72.4,57.0
Palmira / El Pedregal,Valrhona,3.0,France,64.0,Criollo,Venezuela,Earthen,44.0,69.0,60.0,39.0,35.0,23.0,50.0,56.0,32.0,88.0,77.0,77.3,80.4,81.5
Porcelana Mex,Coppeneur,3.5,Germany,72.0,F1,Mexico,Twang,51.0,59.0,83.0,34.0,58.0,70.0,57.0,62.0,67.0,100.0,81.0,82.7,87.6,88.0
Tanariva,Valrhona,3.0,France,33.0,Criollo,Madagascar,Earthen,21.0,84.0,31.0,13.0,43.0,19.0,26.0,57.0,62.0,94.0,72.0,84.0,80.2,80.0
Dark 90,Wawel,1.5,Poland,90.0,Blend,,Earthen,60.0,38.0,9.0,34.0,90.0,21.0,13.0,88.0,57.0,100.0,84.0,81.3,71.2,41.5
Jivara,Valrhona,0.0,France,40.0,some,Ecuador,Sugar,9.0,69.0,28.0,21.0,24.0,12.0,6.0,44.0,33.0,100.0,65.0,55.3,49.6,20.0
Guanaja,Valrhona,4.0,France,70.0,Blend,(mostly Venezuela),Fruits,65.0,55.0,70.0,31.0,33.0,83.0,96.0,82.0,71.0,94.0,72.0,90.7,90.6,92.0
Araguani,Valrhona,4.0,France,72.0,Blend,Venezuela,Fruits,70.0,62.0,54.0,35.0,33.0,84.0,62.0,81.0,67.0,88.0,78.0,89.3,88.6,90.5
Lait,Valrhona,3.0,France,40.0,,,Sugar,21.0,64.0,12.0,3.0,28.0,14.0,11.0,30.0,32.0,100.0,79.0,100.0,76.6,72.5
Cafe Noir 57%,Valrhona,4.0,France,57.0,,,Earthen,53.0,76.0,50.0,24.0,31.0,30.0,80.0,82.0,94.0,94.0,83.0,88.0,88.2,90.0
Dominican 80,Taza,2.0,USA,80.0,Hybrid,Dominican Republic,Twang,21.0,30.0,83.0,79.0,32.0,64.0,60.0,34.0,53.0,74.0,64.0,81.3,73.2,65.5
Mexicano,Taza,2.5,USA,50.0,Hybrid,Dominican Republic,Crossover,34.0,96.0,48.0,3.0,61.0,57.0,22.0,43.0,45.0,94.0,81.0,75.3,80.4,73.0
