rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality,bitter_cocoa,sweet_cocoa,sweet_bitter,flavor_quality,flavor_compl,quality_struc,quality_comple
2.5,65.0,57.0,55.0,48.0,37.0,62.0,51.0,43.0,41.0,29.0,74.0,72.0,72.0,81.4,83.0,2405.0,3575.0,2035.0,6756.200000000001,3500.2000000000003,3403.0,3569.0
4.0,75.0,53.0,42.0,40.0,49.0,71.0,37.0,36.0,80.0,82.0,92.0,82.0,85.3,88.4,86.5,3675.0,3150.0,2058.0,7646.6,3182.4,6920.0,3114.0
3.5,75.0,44.0,48.0,76.0,50.0,63.0,45.0,52.0,39.0,81.0,100.0,80.0,82.0,86.4,87.0,3750.0,3600.0,2400.0,7516.8,4492.8,3393.0,4524.0
4.0,65.0,60.0,56.0,76.0,20.0,68.0,64.0,62.0,83.0,51.0,100.0,73.0,90.7,89.0,90.0,1300.0,3640.0,1120.0,8010.0,5518.0,7470.0,5580.0
3.5,85.0,23.0,21.0,8.0,70.0,76.0,52.0,10.0,78.0,69.0,92.0,84.0,83.3,84.2,82.5,5950.0,1785.0,1470.0,6946.5,842.0,6435.0,825.0
3.5,56.0,81.0,80.0,70.0,31.0,44.0,42.0,21.0,77.0,26.0,94.0,76.0,80.7,87.0,89.0,1736.0,4480.0,2480.0,7743.0,1827.0,6853.0,1869.0
4.0,71.0,61.0,60.0,71.0,44.0,62.0,31.0,86.0,81.0,35.0,100.0,85.0,74.7,88.0,92.5,3124.0,4260.0,2640.0,8140.0,7568.0,7492.5,7955.0
3.0,85.0,22.0,21.0,51.0,82.0,33.0,67.0,26.0,77.0,91.0,92.0,72.0,69.3,86.2,86.5,6970.0,1785.0,1722.0,7456.3,2241.2000000000003,6660.5,2249.0
4.0,66.0,61.0,65.0,70.0,32.0,52.0,35.0,86.0,77.0,56.0,94.0,76.0,89.3,86.2,92.0,2112.0,4290.0,2080.0,7930.400000000001,7413.2,7084.0,7912.0
3.5,64.0,52.0,51.0,76.0,27.0,36.0,67.0,30.0,62.0,56.0,84.0,76.0,83.3,85.0,89.5,1728.0,3264.0,1377.0,7607.5,2550.0,5549.0,2685.0
2.0,64.0,31.0,77.0,51.0,31.0,63.0,22.0,24.0,31.0,32.0,94.0,76.0,85.3,8.0,46.5,1984.0,4928.0,2387.0,372.0,192.0,1441.5,1116.0
3.0,64.0,42.0,81.0,77.0,32.0,35.0,56.0,31.0,33.0,32.0,86.0,89.0,78.7,80.4,83.5,2048.0,5184.0,2592.0,6713.400000000001,2492.4,2755.5,2588.5
2.0,70.0,29.0,46.0,76.0,43.0,42.0,54.0,21.0,42.0,46.0,86.0,71.0,85.3,72.4,57.0,3010.0,3220.0,1978.0,4126.8,1520.4,2394.0,1197.0
3.0,64.0,44.0,69.0,60.0,39.0,35.0,23.0,50.0,56.0,32.0,88.0,77.0,77.3,80.4,81.5,2496.0,4416.0,2691.0,6552.6,4020.0000000000005,4564.0,4075.0
3.5,72.0,51.0,59.0,83.0,34.0,58.0,70.0,57.0,62.0,67.0,100.0,81.0,82.7,87.6,88.0,2448.0,4248.0,2006.0,7708.799999999999,4993.2,5456.0,5016.0
3.0,33.0,21.0,84.0,31.0,13.0,43.0,19.0,26.0,57.0,62.0,94.0,72.0,84.0,80.2,80.0,429.0,2772.0,1092.0,6416.0,2085.2000000000003,4560.0,2080.0
1.5,90.0,60.0,38.0,9.0,34.0,90.0,21.0,13.0,88.0,57.0,100.0,84.0,81.3,71.2,41.5,3060.0,3420.0,1292.0,2954.8,925.6,3652.0,539.5
0.0,40.0,9.0,69.0,28.0,21.0,24.0,12.0,6.0,44.0,33.0,100.0,65.0,55.3,49.6,20.0,840.0,2760.0,1449.0,992.0,297.6,880.0,120.0
4.0,70.0,65.0,55.0,70.0,31.0,33.0,83.0,96.0,82.0,71.0,94.0,72.0,90.7,90.6,92.0,2170.0,3850.0,1705.0,8335.199999999999,8697.599999999999,7544.0,8832.0
4.0,72.0,70.0,62.0,54.0,35.0,33.0,84.0,62.0,81.0,67.0,88.0,78.0,89.3,88.6,90.5,2520.0,4464.0,2170.0,8018.299999999999,5493.2,7330.5,5611.0
3.0,40.0,21.0,64.0,12.0,3.0,28.0,14.0,11.0,30.0,32.0,100.0,79.0,100.0,76.6,72.5,120.0,2560.0,192.0,5553.5,842.5999999999999,2175.0,797.5
4.0,57.0,53.0,76.0,50.0,24.0,31.0,30.0,80.0,82.0,94.0,94.0,83.0,88.0,88.2,90.0,1368.0,4332.0,1824.0,7938.0,7056.0,7380.0,7200.0
2.0,80.0,21.0,30.0,83.0,79.0,32.0,64.0,60.0,34.0,53.0,74.0,64.0,81.3,73.2,65.5,6320.0,2400.0,2370.0,4794.6,4392.0,2227.0,3930.0
2.5,50.0,34.0,96.0,48.0,3.0,61.0,57.0,22.0,43.0,45.0,94.0,81.0,75.3,80.4,73.0,150.0,4800.0,288.0,5869.200000000001,1768.8000000000002,3139.0,1606.0
2.5,65.0,56.0,51.0,30.0,36.0,43.0,42.0,44.0,58.0,37.0,68.0,69.0,95.3,76.8,80.5,2340.0,3315.0,1836.0,6182.4,3379.2,4669.0,3542.0
3.0,60.0,39.0,52.0,44.0,32.0,28.0,60.0,46.0,51.0,49.0,86.0,70.0,89.3,78.8,88.0,1920.0,3120.0,1664.0,6934.4,3624.7999999999997,4488.0,4048.0
0.5,72.0,41.0,49.0,94.0,22.0,81.0,92.0,16.0,25.0,73.0,94.0,71.0,59.3,59.2,39.0,1584.0,3528.0,1078.0,2308.8,947.2,975.0,624.0
3.5,75.0,59.0,38.0,43.0,37.0,68.0,29.0,22.0,69.0,73.0,92.0,83.0,85.3,84.2,90.0,2775.0,2850.0,1406.0,7578.0,1852.4,6210.0,1980.0
3.5,85.0,34.0,61.0,81.0,69.0,33.0,84.0,56.0,77.0,90.0,80.0,82.0,91.3,82.8,84.5,5865.0,5185.0,4209.0,6996.599999999999,4636.8,6506.5,4732.0
4.5,52.0,42.0,71.0,41.0,29.0,67.0,76.0,84.0,90.0,35.0,100.0,79.0,87.3,93.8,93.0,1508.0,3692.0,2059.0,8723.4,7879.2,8370.0,7812.0
5.0,75.0,44.0,42.0,51.0,43.0,64.0,57.0,70.0,72.0,68.0,100.0,89.0,100.0,88.2,10.0,3225.0,3150.0,1806.0,882.0,6174.0,720.0,700.0
2.5,100.0,4.0,3.0,41.0,63.0,65.0,94.0,52.0,39.0,98.0,64.0,88.0,67.3,71.8,93.5,6300.0,300.0,189.0,6713.3,3733.6,3646.5,4862.0
2.0,100.0,7.0,14.0,22.0,73.0,69.0,90.0,12.0,16.0,73.0,82.0,72.0,72.7,62.6,87.0,7300.0,1400.0,1022.0,5446.2,751.2,1392.0,1044.0
4.5,70.0,18.0,59.0,64.0,31.0,44.0,95.0,91.0,77.0,89.0,100.0,87.0,88.0,90.2,98.0,2170.0,4130.0,1829.0,8839.6,8208.2,7546.0,8918.0
2.5,70.0,41.0,17.0,83.0,80.0,30.0,88.0,76.0,64.0,90.0,92.0,75.0,88.0,74.0,75.5,5600.0,1190.0,1360.0,5587.0,5624.0,4832.0,5738.0
4.0,0.5,68.0,35.0,54.0,49.0,66.0,51.0,34.0,57.0,63.0,100.0,87.0,82.7,85.8,91.0,24.5,17.5,1715.0,7807.8,2917.2,5187.0,3094.0
3.5,80.0,47.0,46.0,22.0,34.0,68.0,29.0,18.0,55.0,61.0,84.0,71.0,93.3,82.2,91.5,2720.0,3680.0,1564.0,7521.3,1479.6000000000001,5032.5,1647.0
1.5,72.0,18.0,92.0,96.0,7.0,68.0,99.0,21.0,70.0,88.0,92.0,69.0,62.0,67.2,70.5,504.0,6624.0,644.0,4737.6,1411.2,4935.0,1480.5
4.0,72.0,86.0,64.0,38.0,24.0,77.0,53.0,69.0,83.0,91.0,82.0,94.0,85.3,89.2,92.0,1728.0,4608.0,1536.0,8206.4,6154.8,7636.0,6348.0
0.0,70.0,27.0,52.0,31.0,59.0,84.0,63.0,11.0,6.0,95.0,64.0,74.0,64.7,37.2,29.0,4130.0,3640.0,3068.0,1078.8000000000002,409.20000000000005,174.0,319.0
1.0,65.0,29.0,48.0,81.0,17.0,79.0,62.0,44.0,51.0,63.0,66.0,68.0,62.7,59.4,56.0,1105.0,3120.0,816.0,3326.4,2613.6,2856.0,2464.0
2.5,75.0,31.0,39.0,48.0,40.0,89.0,42.0,46.0,36.0,62.0,72.0,79.0,68.7,83.4,79.0,3000.0,2925.0,1560.0,6588.6,3836.4,2844.0,3634.0
3.5,74.0,65.0,86.0,57.0,41.0,83.0,54.0,78.0,46.0,69.0,68.0,78.0,74.7,87.8,89.0,3034.0,6364.0,3526.0,7814.2,6848.4,4094.0,6942.0
3.5,40.0,46.0,67.0,79.0,18.0,77.0,72.0,64.0,51.0,83.0,90.0,88.0,86.7,84.8,85.5,720.0,2680.0,1206.0,7250.4,5427.2,4360.5,5472.0
3.0,65.0,58.0,72.0,41.0,23.0,34.0,19.0,33.0,42.0,47.0,92.0,72.0,83.3,80.6,85.5,1495.0,4680.0,1656.0,6891.299999999999,2659.7999999999997,3591.0,2821.5
3.0,70.0,46.0,38.0,14.0,33.0,62.0,41.0,47.0,45.0,53.0,72.0,71.0,89.3,82.4,89.5,2310.0,2660.0,1254.0,7374.8,3872.8,4027.5,4206.5
3.5,35.0,72.0,76.0,34.0,26.0,48.0,31.0,44.0,82.0,53.0,90.0,82.0,85.3,89.2,81.0,910.0,2660.0,1976.0,7225.2,3924.8,6642.0,3564.0
